,Submission ID,What is your age?,How many cups of coffee do you typically drink per day?,Where do you typically drink coffee?,How do you brew coffee at home?,"On the go, where do you typically purchase coffee?",What is your favorite coffee drink?,Do you usually add anything to your coffee?,What kind of dairy do you add?,What kind of sugar or sweetener do you add?,"Before today's tasting, which of the following best described what kind of coffee you like?",How strong do you like your coffee?,What roast level of coffee do you prefer?,How much caffeine do you like in your coffee?,"Lastly, how would you rate your own coffee expertise?",Coffee A - Bitterness,Coffee A - Acidity,Coffee A - Personal Preference,Coffee B - Bitterness,Coffee B - Acidity,Coffee B - Personal Preference,Coffee C - Bitterness,Coffee C - Acidity,Coffee C - Personal Preference,Coffee D - Bitterness,Coffee D - Acidity,Coffee D - Personal Preference,"Between Coffee A, Coffee B, and Coffee C which did you prefer?","Between Coffee A and Coffee D, which did you prefer?","Lastly, what was your favorite overall coffee?",Do you work from home or in person?,"In total, much money do you typically spend on coffee in a month?",Why do you drink coffee?,Do you like the taste of coffee?,Do you know where your coffee comes from?,What is the most you've ever paid for a cup of coffee?,What is the most you'd ever be willing to pay for a cup of coffee?,Do you feel like you’re getting good value for your money when you buy coffee at a cafe?,Approximately how much have you spent on coffee equipment in the past 5 years?,Do you feel like you’re getting good value for your money with regards to your coffee equipment?,Gender,Education Level,Ethnicity/Race,Employment Status,Number of Children,Political Affiliation
203,g5NV9P,35-44 years old,2,"At home, At the office","Espresso, Coffee brewing machine (e.g. Mr. Coffee), Pour over",Don't purchase on the go,Pourover,"No - just black, Milk, dairy alternative, or coffee creamer",Oat milk,Don't add swetener,Fruity,Somewhat strong,Medium,Full caffeine,7.0,2.0,4.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0,1.0,4.0,5.0,Coffee B,Coffee D,Coffee D,I primarily work from home,$20-$40,"It tastes good, I need the caffeine",Yes,Yes,$6-$8,$6-$8,No,"More than $1,000",Yes,Male,Some college or associate's degree,White/Caucasian,Employed full-time,0,Independent
204,42NY8Y,25-34 years old,1,"At home, At the office","Pour over, Other",Don't purchase on the go,Iced coffee,No - just black,Don't add diary,Don't add swetener,Chocolatey,Somewhat strong,Light,Full caffeine,2.0,2.0,5.0,2.0,3.0,2.0,1.0,3.0,1.0,3.0,1.0,3.0,5.0,Coffee C,Coffee D,Coffee D,I do a mix of both,<$20,"It tastes good, I need the caffeine",Yes,Yes,$6-$8,$15-$20,No,$50-$100,Yes,Male,Master's degree,White/Caucasian,Employed full-time,0,Independent
205,GrBVJp,35-44 years old,1,At home,French press,Don't purchase on the go,Regular drip coffee,"No - just black, Milk, dairy alternative, or coffee creamer",Skim milk,Don't add swetener,Chocolatey,Medium,Medium,Full caffeine,2.0,3.0,4.0,1.0,2.0,1.0,5.0,1.0,2.0,3.0,3.0,4.0,2.0,Coffee B,Coffee D,Coffee D,I primarily work from home,$20-$40,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$6-$8,$8-$10,Yes,$100-$300,Yes,Female,Master's degree,White/Caucasian,Employed full-time,0,Democrat
206,7d90RL,18-24 years old,2,"At home, At a cafe","Pour over, Other",Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Juicy,Medium,Light,Full caffeine,7.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,Coffee C,Coffee D,Coffee D,I primarily work from home,$80-$100,It tastes good,Yes,Yes,$10-$15,$15-$20,Yes,$100-$300,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,No affiliation
207,lNl8WV,18-24 years old,1,"At the office, At a cafe",,Don't purchase on the go,Latte,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",Flavored coffee creamer,Granulated Sugar,Sweet,Medium,Light,Full caffeine,3.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,2.0,5.0,3.0,3.0,3.0,Coffee C,Coffee D,Coffee B,I primarily work in person,$20-$40,"It tastes good, I need the caffeine",Yes,No,$10-$15,$10-$15,No,$300-$500,Yes,Female,Some college or associate's degree,White/Caucasian,Employed full-time,0,Democrat
208,vNxaEA,45-54 years old,2,"At a cafe, On the go, At home","Pour over, Coffee brewing machine (e.g. Mr. Coffee)","National chain (e.g. Starbucks, Dunkin)",Regular drip coffee,"Milk, dairy alternative, or coffee creamer","Whole milk, Oat milk",Don't add swetener,Juicy,Somewhat strong,Light,Full caffeine,8.0,2.0,2.0,4.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0,1.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work in person,$40-$60,"It tastes good, I need the caffeine",Yes,Yes,$8-$10,$10-$15,Yes,$300-$500,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,2,Democrat
209,0EjY5P,25-34 years old,1,At home,Pour over,Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Fruity,Somewhat strong,Light,Full caffeine,6.0,2.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,1.0,5.0,5.0,Coffee A,Coffee D,Coffee D,I do a mix of both,$20-$40,"It tastes good, I need the ritual",Yes,Yes,$8-$10,$8-$10,No,$100-$300,Yes,Male,Doctorate or professional degree,Hispanic/Latino,Student,0,Democrat
210,eBxO5q,18-24 years old,Less than 1,At home,French press,Don't purchase on the go,Cold brew,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",Oat milk,Brown Sugar,Caramalized,Medium,Medium,Half caff,3.0,2.0,5.0,1.0,4.0,2.0,5.0,5.0,3.0,2.0,1.0,5.0,3.0,Coffee B,Coffee D,Coffee B,I primarily work from home,<$20,It tastes good,Yes,Yes,$15-$20,$6-$8,Yes,$20-$50,Yes,Non-binary,Bachelor's degree,White/Caucasian,Unemployed,0,Democrat
212,lNlXyB,45-54 years old,1,At the office,,Don't purchase on the go,Americano,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",Half and half,Raw Sugar (Turbinado),Fruity,Medium,Medium,Full caffeine,5.0,1.0,4.0,5.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,5.0,4.0,Coffee A,Coffee A,Coffee C,I primarily work in person,$20-$40,"I need the ritual, I need the caffeine, It tastes good, Other",Yes,Yes,$6-$8,$8-$10,Yes,$50-$100,Yes,Female,Bachelor's degree,White/Caucasian,Employed full-time,0,Independent
213,1r2Yx4,25-34 years old,3,At home,"Pour over, Coffee brewing machine (e.g. Mr. Coffee)",Don't purchase on the go,Cappuccino,No - just black,Don't add diary,Don't add swetener,Fruity,Somewhat strong,Light,Full caffeine,6.0,1.0,3.0,5.0,3.0,1.0,2.0,4.0,1.0,1.0,2.0,5.0,4.0,Coffee A,Coffee A,Coffee A,I primarily work from home,$40-$60,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$10-$15,$10-$15,Yes,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
214,1r20WM,35-44 years old,1,At home,"Espresso, Pour over, Other",Don't purchase on the go,Latte,"No - just black, Milk, dairy alternative, or coffee creamer","Whole milk, Half and half",Don't add swetener,Caramalized,Medium,Medium,Half caff,5.0,1.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,1.0,5.0,2.0,Coffee A,Coffee A,Coffee A,I primarily work from home,$20-$40,"It tastes good, I need the ritual, I need the caffeine",Yes,No,$4-$6,Less than $2,No,"More than $1,000",Yes,Male,Bachelor's degree,,Employed full-time,0,
215,J2krad,25-34 years old,2,At home,"Pour over, Espresso, French press, Cold brew",Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Fruity,Medium,Light,Full caffeine,9.0,2.0,3.0,4.0,4.0,2.0,2.0,4.0,3.0,3.0,2.0,4.0,5.0,Coffee A,Coffee D,Coffee D,I do a mix of both,$20-$40,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom",Yes,Yes,$8-$10,Less than $2,No,$100-$300,Yes,Male,Doctorate or professional degree,White/Caucasian,Student,0,Democrat
216,DVvo05,18-24 years old,2,"At home, On the go",Pour over,Drive-thru,Mocha,"Milk, dairy alternative, or coffee creamer","Whole milk, Half and half",Don't add swetener,Bright,Somewhat strong,Light,Full caffeine,7.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,4.0,1.0,3.0,4.0,Coffee C,Coffee D,Coffee C,I primarily work in person,$40-$60,"It tastes good, I need the ritual",Yes,Yes,$8-$10,More than $20,Yes,$100-$300,Yes,Male,High school graduate,White/Caucasian,Employed full-time,0,No affiliation
217,VZ1aJj,25-34 years old,1,At home,Espresso,Don't purchase on the go,Espresso,No - just black,Don't add diary,Don't add swetener,Bright,Somewhat strong,Medium,Full caffeine,5.0,2.0,4.0,4.0,4.0,2.0,3.0,5.0,1.0,3.0,1.0,5.0,5.0,Coffee A,Coffee D,Coffee B,I primarily work from home,$20-$40,"It tastes good, I need the ritual, I need the caffeine",Yes,Yes,$6-$8,$6-$8,Yes,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
219,aBrJxZ,35-44 years old,1,At home,French press,Don't purchase on the go,Regular drip coffee,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",Oat milk,Raw Sugar (Turbinado),Caramalized,Medium,Medium,Half caff,6.0,2.0,5.0,3.0,3.0,2.0,5.0,4.0,2.0,4.0,3.0,4.0,1.0,Coffee B,Coffee A,Coffee B,I primarily work from home,<$20,"It tastes good, I need the ritual",Yes,Yes,$10-$15,$15-$20,No,$100-$300,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,2,Democrat
220,9dJ0qG,25-34 years old,1,At home,Pour over,Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Fruity,Medium,Light,Full caffeine,5.0,3.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work from home,$20-$40,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$10-$15,$15-$20,No,$100-$300,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,1,Democrat
221,PABN1x,25-34 years old,3,At home,"Pour over, Espresso, Coffee brewing machine (e.g. Mr. Coffee)",Don't purchase on the go,Cappuccino,No - just black,Don't add diary,Don't add swetener,Caramalized,Medium,Medium,Full caffeine,6.0,2.0,5.0,2.0,3.0,2.0,4.0,5.0,2.0,2.0,2.0,4.0,4.0,Coffee B,Coffee D,Coffee B,I do a mix of both,$20-$40,"It tastes good, I need the ritual",Yes,Yes,$6-$8,$8-$10,No,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
222,8dpDDk,25-34 years old,1,"At a cafe, At home",Pour over,Don't purchase on the go,Cappuccino,No - just black,Don't add diary,Don't add swetener,Fruity,Somewhat strong,Light,Full caffeine,6.0,2.0,3.0,3.0,4.0,1.0,2.0,4.0,2.0,2.0,1.0,4.0,4.0,Coffee A,Coffee D,Coffee D,I primarily work from home,$80-$100,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$8-$10,More than $20,No,$300-$500,Yes,Male,,,,0,
226,VZ1WYN,25-34 years old,2,At home,Pour over,Don't purchase on the go,Regular drip coffee,"Milk, dairy alternative, or coffee creamer, No - just black",Whole milk,Don't add swetener,Floral,Medium,Light,Full caffeine,7.0,3.0,4.0,4.0,2.0,4.0,3.0,5.0,3.0,1.0,2.0,3.0,3.0,Coffee A,Coffee A,Coffee A,I primarily work from home,$20-$40,"It tastes good, I need the ritual, I need the caffeine",Yes,Yes,$4-$6,$6-$8,No,$100-$300,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
232,jB98WY,25-34 years old,2,"At the office, At home, On the go","Pour over, Espresso",Specialty coffee shop,Pourover,No - just black,Don't add diary,Don't add swetener,Chocolatey,Medium,Light,Full caffeine,6.0,2.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,1.0,5.0,2.0,Coffee C,Coffee A,Coffee C,I primarily work in person,$20-$40,"It tastes good, I need the ritual",Yes,Yes,$8-$10,$8-$10,No,$500-$1000,Yes,Female,Doctorate or professional degree,White/Caucasian,Employed full-time,0,No affiliation
236,xdN8yk,25-34 years old,More than 4,"At home, At the office","Pour over, Espresso",Don't purchase on the go,Iced coffee,No - just black,Don't add diary,Don't add swetener,Floral,Somewhat strong,Light,Full caffeine,6.0,1.0,3.0,4.0,2.0,1.0,5.0,2.0,3.0,3.0,1.0,5.0,1.0,Coffee B,Coffee A,Coffee B,I primarily work in person,$40-$60,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$10-$15,$10-$15,Yes,"More than $1,000",Yes,Male,Master's degree,White/Caucasian,Employed full-time,0,Democrat
237,rlr8LX,45-54 years old,1,"At home, On the go","Pod/capsule machine (e.g. Keurig/Nespresso), Cold brew","Specialty coffee shop, National chain (e.g. Starbucks, Dunkin)",Cold brew,"Flavor syrup, Sugar or sweetener, Milk, dairy alternative, or coffee creamer",Oat milk,Stevia,Chocolatey,Somewhat strong,Medium,Full caffeine,6.0,3.0,2.0,3.0,2.0,2.0,4.0,4.0,5.0,3.0,4.0,3.0,1.0,Coffee B,Coffee A,Coffee B,I primarily work from home,$40-$60,It tastes good,Yes,Yes,$6-$8,$6-$8,No,$50-$100,Yes,Male,Bachelor's degree,Asian/Pacific Islander,Employed full-time,0,Independent
240,GrBODO,>65 years old,More than 4,At home,Bean-to-cup machine,Don't purchase on the go,Regular drip coffee,No - just black,Don't add diary,Don't add swetener,Full Bodied,Somewhat strong,Medium,Full caffeine,6.0,1.0,2.0,5.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,1.0,Coffee A,Coffee A,Coffee A,I primarily work from home,$20-$40,It tastes good,Yes,Yes,$6-$8,$2-$4,No,"More than $1,000",Yes,Female,Doctorate or professional degree,White/Caucasian,Retired,2,Democrat
241,7d97a0,25-34 years old,1,At home,Pour over,Don't purchase on the go,Iced coffee,No - just black,Don't add diary,Don't add swetener,Caramalized,Somewhat strong,Light,Full caffeine,6.0,2.0,4.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0,1.0,5.0,4.0,Coffee A,Coffee D,Coffee D,I primarily work from home,$20-$40,"It tastes good, I need the ritual",Yes,Yes,$8-$10,$8-$10,Yes,$100-$300,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
242,WApale,45-54 years old,1,"At home, At the office",Bean-to-cup machine,Don't purchase on the go,Americano,No - just black,Don't add diary,Don't add swetener,Caramalized,Somewhat strong,Medium,Full caffeine,7.0,4.0,3.0,2.0,4.0,2.0,4.0,2.0,1.0,3.0,3.0,4.0,1.0,Coffee B,Coffee A,Coffee B,I primarily work from home,$20-$40,"It tastes good, I need the caffeine",Yes,Yes,$10-$15,$15-$20,No,"More than $1,000",Yes,Male,Master's degree,White/Caucasian,Employed full-time,1,Democrat
244,oAV8dN,25-34 years old,2,At home,Pour over,Don't purchase on the go,Americano,No - just black,Don't add diary,Don't add swetener,Chocolatey,Very strong,Medium,Full caffeine,7.0,4.0,2.0,3.0,3.0,1.0,4.0,3.0,2.0,4.0,1.0,4.0,2.0,Coffee C,Coffee A,Coffee C,I primarily work from home,$40-$60,It tastes good,Yes,Yes,$10-$15,More than $20,Yes,"More than $1,000",Yes,Male,Doctorate or professional degree,White/Caucasian,Employed full-time,0,Democrat
246,5dqaeZ,25-34 years old,3,"At home, At a cafe","Pour over, Espresso",Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Chocolatey,Very strong,Dark,Full caffeine,6.0,4.0,3.0,3.0,3.0,2.0,2.0,1.0,4.0,5.0,2.0,3.0,4.0,Coffee C,Coffee D,Coffee C,I primarily work from home,$80-$100,"It tastes good, I need the caffeine",Yes,Yes,$15-$20,More than $20,No,"More than $1,000",Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,No affiliation
247,g5N8v4,35-44 years old,2,"At the office, At home","Espresso, Coffee brewing machine (e.g. Mr. Coffee)",Don't purchase on the go,Americano,No - just black,Don't add diary,Don't add swetener,Fruity,Somewhat strong,Light,Full caffeine,8.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,5.0,5.0,Coffee A,Coffee D,Coffee D,I do a mix of both,$60-$80,"I need the ritual, It tastes good",Yes,Yes,$6-$8,$8-$10,Yes,"More than $1,000",Yes,Male,Master's degree,White/Caucasian,Employed full-time,2,
248,oAV8lb,35-44 years old,1,At home,"Pour over, French press, Cold brew",Don't purchase on the go,Cappuccino,No - just black,Don't add diary,Don't add swetener,Floral,Somewhat strong,Light,Full caffeine,5.0,3.0,4.0,5.0,5.0,2.0,3.0,4.0,3.0,3.0,2.0,5.0,4.0,Coffee A,Coffee A,Coffee A,I do a mix of both,$40-$60,It tastes good,Yes,Yes,$8-$10,$10-$15,No,$50-$100,Yes,Male,Doctorate or professional degree,Asian/Pacific Islander,Employed full-time,0,Democrat
250,jB9871,45-54 years old,2,At home,Pour over,Don't purchase on the go,Regular drip coffee,"Milk, dairy alternative, or coffee creamer",Skim milk,Don't add swetener,Fruity,Somewhat strong,Medium,Full caffeine,6.0,3.0,4.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,1.0,2.0,4.0,Coffee B,Coffee D,Coffee D,I primarily work from home,$40-$60,"I need the caffeine, It tastes good",Yes,Yes,$8-$10,$4-$6,No,$100-$300,Yes,Male,Some college or associate's degree,White/Caucasian,Employed full-time,2,Democrat
251,9dJA2E,18-24 years old,1,At home,Coffee brewing machine (e.g. Mr. Coffee),Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Fruity,Somewhat strong,Light,Full caffeine,8.0,2.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,3.0,1.0,4.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work in person,$20-$40,"I need the caffeine, It tastes good",Yes,Yes,$10-$15,More than $20,No,"More than $1,000",Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
252,PABZBx,25-34 years old,1,"At the office, At home","Pour over, French press",Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Fruity,Somewhat strong,Light,Full caffeine,6.0,2.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0,3.0,1.0,4.0,3.0,Coffee B,Coffee D,Coffee B,I do a mix of both,$20-$40,"It tastes good, I need the ritual, It makes me go to the bathroom",Yes,Yes,$4-$6,$8-$10,Yes,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Republican
253,DVvRWR,25-34 years old,1,At home,"Espresso, Pour over",Don't purchase on the go,Cortado,No - just black,Don't add diary,Don't add swetener,Fruity,Medium,Light,Full caffeine,9.0,3.0,4.0,4.0,4.0,1.0,2.0,3.0,2.0,3.0,1.0,4.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work from home,$40-$60,"It tastes good, I need the ritual",Yes,Yes,$6-$8,$6-$8,No,"More than $1,000",Yes,Male,Bachelor's degree,Asian/Pacific Islander,Employed full-time,0,Independent
254,dY2JDV,25-34 years old,4,"At home, At a cafe, At the office","Pour over, Coffee brewing machine (e.g. Mr. Coffee), Pod/capsule machine (e.g. Keurig/Nespresso), Instant coffee",Don't purchase on the go,Americano,No - just black,Don't add diary,Don't add swetener,Floral,Somewhat light,Light,Full caffeine,4.0,2.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,4.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work from home,>$100,"It tastes good, I need the caffeine",Yes,Yes,$4-$6,$4-$6,No,$500-$1000,Yes,Male,Doctorate or professional degree,Hispanic/Latino,Employed full-time,0,No affiliation
255,bl41Y1,25-34 years old,1,"At home, At the office","Pour over, Coffee brewing machine (e.g. Mr. Coffee), Pod/capsule machine (e.g. Keurig/Nespresso)",Don't purchase on the go,Cappuccino,"Milk, dairy alternative, or coffee creamer","Coffee creamer, Flavored coffee creamer",Don't add swetener,Juicy,Somewhat strong,Medium,Decaf,4.0,1.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,2.0,5.0,4.0,1.0,Coffee B,Coffee A,Coffee B,I do a mix of both,<$20,"I need the ritual, It tastes good",Yes,Yes,$2-$4,$2-$4,Yes,$50-$100,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
256,rlr8vR,25-34 years old,2,"At home, On the go","Espresso, Pour over, Cold brew",Specialty coffee shop,Pourover,No - just black,Don't add diary,Don't add swetener,Juicy,Somewhat strong,Light,Full caffeine,6.0,1.0,3.0,5.0,3.0,2.0,1.0,2.0,3.0,3.0,1.0,5.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work from home,$80-$100,"It tastes good, I need the caffeine",Yes,Yes,$10-$15,$10-$15,Yes,"More than $1,000",Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
257,xdN89d,45-54 years old,3,"At home, At a cafe","Pour over, Pod/capsule machine (e.g. Keurig/Nespresso), French press",Don't purchase on the go,Pourover,"No - just black, Milk, dairy alternative, or coffee creamer",Almond milk,Don't add swetener,Fruity,Medium,Light,Full caffeine,5.0,2.0,5.0,5.0,4.0,2.0,2.0,3.0,2.0,3.0,1.0,4.0,4.0,Coffee A,Coffee A,Coffee A,I primarily work from home,$40-$60,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$8-$10,$8-$10,No,$500-$1000,Yes,Male,Some college or associate's degree,White/Caucasian,Employed full-time,2,No affiliation
258,kYR8Jo,35-44 years old,2,At home,"Pour over, Espresso",Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Fruity,Medium,Light,Full caffeine,8.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work from home,$80-$100,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$15-$20,$15-$20,Yes,$500-$1000,Yes,Male,Doctorate or professional degree,White/Caucasian,Employed full-time,0,Democrat
259,YZz7xW,25-34 years old,1,At home,"Coffee extract (e.g. Cometeer), Pour over, French press",Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Floral,Medium,Light,Full caffeine,5.0,1.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,5.0,3.0,Coffee C,Coffee D,Coffee D,I primarily work from home,$60-$80,"I need the ritual, It tastes good, It makes me go to the bathroom",Yes,Yes,$10-$15,$8-$10,Yes,"More than $1,000",Yes,Male,High school graduate,Hispanic/Latino,Employed full-time,0,Democrat
262,rlr8k2,35-44 years old,1,"At home, On the go","Pour over, Espresso",Drive-thru,Pourover,No - just black,Don't add diary,Don't add swetener,Fruity,Medium,Light,Decaf,6.0,1.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Coffee A,Coffee A,Coffee A,I primarily work in person,$20-$40,It tastes good,Yes,Yes,$6-$8,$8-$10,Yes,$300-$500,Yes,Male,Some college or associate's degree,White/Caucasian,Employed full-time,1,No affiliation
263,7d97ER,25-34 years old,1,At home,Other,Don't purchase on the go,Other,No - just black,Don't add diary,Don't add swetener,Nutty,Somewhat strong,Light,Full caffeine,7.0,2.0,2.0,5.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,1.0,1.0,Coffee A,Coffee A,Coffee A,I primarily work in person,$20-$40,"It tastes good, I need the ritual",Yes,Yes,$6-$8,$8-$10,Yes,$100-$300,Yes,Male,,,,0,
264,GrBOBO,25-34 years old,2,At home,"Espresso, Coffee brewing machine (e.g. Mr. Coffee)",Don't purchase on the go,Cold brew,No - just black,Don't add diary,Don't add swetener,Full Bodied,Somewhat strong,Medium,Full caffeine,7.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,5.0,1.0,Coffee C,Coffee A,Coffee C,I primarily work from home,$40-$60,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$8-$10,$10-$15,Yes,"More than $1,000",Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,No affiliation
265,42NlPr,25-34 years old,3,"At a cafe, At the office, On the go, At home","Pour over, French press, Cold brew, Other","Local cafe, Specialty coffee shop",Pourover,No - just black,Don't add diary,Don't add swetener,Full Bodied,Medium,Light,Full caffeine,8.0,3.0,4.0,3.0,2.0,4.0,3.0,2.0,1.0,5.0,3.0,4.0,4.0,Coffee C,Coffee D,Coffee B,I primarily work in person,$40-$60,It tastes good,Yes,Yes,$10-$15,More than $20,Yes,$500-$1000,Yes,Male,Some college or associate's degree,White/Caucasian,Employed full-time,0,Independent
266,XeB6OP,25-34 years old,1,"At home, On the go, At the office, At a cafe",Espresso,Local cafe,Latte,"Milk, dairy alternative, or coffee creamer, Flavor syrup",Oat milk,Don't add swetener,Fruity,Medium,Light,Full caffeine,6.0,1.0,4.0,4.0,4.0,1.0,2.0,4.0,3.0,1.0,2.0,3.0,5.0,Coffee A,Coffee D,Coffee D,I do a mix of both,$40-$60,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$8-$10,$8-$10,Yes,$50-$100,Yes,Female,Master's degree,White/Caucasian,Employed full-time,0,Democrat
267,VZ1W4y,25-34 years old,More than 4,"At home, At the office, At a cafe","Espresso, Pour over",Don't purchase on the go,Espresso,No - just black,Don't add diary,Don't add swetener,Fruity,Very strong,Light,Full caffeine,10.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,1.0,Coffee A,Coffee A,Coffee A,I primarily work from home,>$100,"I need the ritual, It tastes good",Yes,Yes,More than $20,More than $20,Yes,"More than $1,000",Yes,Male,Less than high school,White/Caucasian,Employed full-time,0,Democrat
268,kYR8ve,25-34 years old,2,"At the office, At home",Pour over,Don't purchase on the go,Regular drip coffee,No - just black,Don't add diary,Don't add swetener,Caramalized,Very strong,Medium,Full caffeine,6.0,1.0,3.0,5.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,4.0,Coffee A,Coffee A,Coffee A,I do a mix of both,$20-$40,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$10-$15,$10-$15,Yes,$100-$300,Yes,Male,Master's degree,Black/African American,Employed full-time,0,Democrat
269,YZz7oN,35-44 years old,2,"At the office, At home","Pour over, Espresso",Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Bright,Very strong,Light,Full caffeine,7.0,2.0,4.0,4.0,4.0,1.0,3.0,2.0,3.0,2.0,1.0,5.0,5.0,Coffee A,Coffee D,Coffee D,I do a mix of both,$20-$40,"It tastes good, I need the ritual",Yes,Yes,$8-$10,$8-$10,Yes,$500-$1000,Yes,Male,Some college or associate's degree,White/Caucasian,Employed full-time,0,Democrat
270,OABxYM,25-34 years old,2,"At home, At the office, On the go","Pour over, French press, Pod/capsule machine (e.g. Keurig/Nespresso)","National chain (e.g. Starbucks, Dunkin), Local cafe, Specialty coffee shop",Cortado,"No - just black, Milk, dairy alternative, or coffee creamer",Whole milk,Don't add swetener,Chocolatey,Somewhat strong,Light,Full caffeine,6.0,2.0,3.0,4.0,4.0,2.0,3.0,1.0,2.0,5.0,4.0,3.0,2.0,Coffee C,Coffee A,Coffee C,I do a mix of both,$20-$40,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$8-$10,$10-$15,Yes,$100-$300,Yes,Male,Master's degree,White/Caucasian,Employed full-time,0,Independent
271,xdN8lv,18-24 years old,1,At the office,,Don't purchase on the go,Cappuccino,No - just black,Don't add diary,Don't add swetener,Fruity,Medium,Light,Full caffeine,4.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,1.0,4.0,3.0,Coffee C,Coffee D,Coffee C,I primarily work in person,<$20,"It tastes good, I need the caffeine, I need the ritual",Yes,No,$4-$6,$8-$10,Yes,$100-$300,Yes,Male,Some college or associate's degree,White/Caucasian,Employed full-time,0,No affiliation
